INFO:root:Namespace(accumulate=None, batch_size=32, bert_dataset='wiki_cn_cased', bert_model='bert_12_768_12', dev_batch_size=8, dtype='float32', epochs=3, epsilon=1e-06, gpu=None, log_interval=10, lr=2e-05, max_len=128, model_parameters=None, only_inference=False, optimizer='bertadam', output_dir='./output_dir', pad=False, pretrained_bert_parameters=None, seed=3, task_name='LCQMC', warmup_ratio=0.1)
INFO:root:processing dataset...
WARNING:py.warnings:/cluster/home/it_stu116/.local/lib/python3.7/site-packages/gluonnlp/data/batchify/batchify.py:235: UserWarning: Padding value is not given and will be set automatically to 0 in data.batchify.Pad(). Please check whether this is intended (e.g. value of padding index in the vocabulary).
  'Padding value is not given and will be set automatically to 0 '

WARNING:py.warnings:/cluster/home/it_stu116/.local/lib/python3.7/site-packages/gluonnlp/data/sampler.py:352: UserWarning: Some buckets are empty and will be removed. Unused bucket keys=[116]
  str(unused_bucket_keys))

INFO:root:Now we are doing BERT classification training on cpu(0)!
[12:55:45] src/base.cc:49: GPU context requested, but no GPUs found.
INFO:root:[Epoch 1 Batch 10/7467] loss=0.6924, lr=0.0000001, metrics:accuracy:0.5094
INFO:root:[Epoch 1 Batch 20/7467] loss=0.6830, lr=0.0000001, metrics:accuracy:0.5297
INFO:root:[Epoch 1 Batch 30/7467] loss=0.6485, lr=0.0000002, metrics:accuracy:0.5646
INFO:root:[Epoch 1 Batch 40/7467] loss=0.6639, lr=0.0000003, metrics:accuracy:0.5742
INFO:root:[Epoch 1 Batch 50/7467] loss=0.6853, lr=0.0000003, metrics:accuracy:0.5725
INFO:root:[Epoch 1 Batch 60/7467] loss=0.6487, lr=0.0000004, metrics:accuracy:0.5828
INFO:root:[Epoch 1 Batch 70/7467] loss=0.6737, lr=0.0000005, metrics:accuracy:0.5857
INFO:root:[Epoch 1 Batch 80/7467] loss=0.6170, lr=0.0000005, metrics:accuracy:0.5988
INFO:root:[Epoch 1 Batch 90/7467] loss=0.6503, lr=0.0000006, metrics:accuracy:0.6028
INFO:root:[Epoch 1 Batch 100/7467] loss=0.6035, lr=0.0000007, metrics:accuracy:0.6122
INFO:root:[Epoch 1 Batch 110/7467] loss=0.5883, lr=0.0000007, metrics:accuracy:0.6236
INFO:root:[Epoch 1 Batch 120/7467] loss=0.5489, lr=0.0000008, metrics:accuracy:0.6365
INFO:root:[Epoch 1 Batch 130/7467] loss=0.5863, lr=0.0000009, metrics:accuracy:0.6433
INFO:root:[Epoch 1 Batch 140/7467] loss=0.5563, lr=0.0000009, metrics:accuracy:0.6513
INFO:root:[Epoch 1 Batch 150/7467] loss=0.5462, lr=0.0000010, metrics:accuracy:0.6583
INFO:root:[Epoch 1 Batch 160/7467] loss=0.5324, lr=0.0000011, metrics:accuracy:0.6660
INFO:root:[Epoch 1 Batch 170/7467] loss=0.5172, lr=0.0000011, metrics:accuracy:0.6721
INFO:root:[Epoch 1 Batch 180/7467] loss=0.4366, lr=0.0000012, metrics:accuracy:0.6828
INFO:root:[Epoch 1 Batch 190/7467] loss=0.4818, lr=0.0000013, metrics:accuracy:0.6895
INFO:root:[Epoch 1 Batch 200/7467] loss=0.4405, lr=0.0000013, metrics:accuracy:0.6966
INFO:root:[Epoch 1 Batch 210/7467] loss=0.4446, lr=0.0000014, metrics:accuracy:0.7020
INFO:root:[Epoch 1 Batch 220/7467] loss=0.4458, lr=0.0000015, metrics:accuracy:0.7076
INFO:root:[Epoch 1 Batch 230/7467] loss=0.4352, lr=0.0000015, metrics:accuracy:0.7131
INFO:root:[Epoch 1 Batch 240/7467] loss=0.3910, lr=0.0000016, metrics:accuracy:0.7182
INFO:root:[Epoch 1 Batch 250/7467] loss=0.3385, lr=0.0000017, metrics:accuracy:0.7253
INFO:root:[Epoch 1 Batch 260/7467] loss=0.4019, lr=0.0000017, metrics:accuracy:0.7300
INFO:root:[Epoch 1 Batch 270/7467] loss=0.3837, lr=0.0000018, metrics:accuracy:0.7353
INFO:root:[Epoch 1 Batch 280/7467] loss=0.3082, lr=0.0000019, metrics:accuracy:0.7412
INFO:root:[Epoch 1 Batch 290/7467] loss=0.3543, lr=0.0000019, metrics:accuracy:0.7456
INFO:root:[Epoch 1 Batch 300/7467] loss=0.3699, lr=0.0000020, metrics:accuracy:0.7494
INFO:root:[Epoch 1 Batch 310/7467] loss=0.3527, lr=0.0000021, metrics:accuracy:0.7535
INFO:root:[Epoch 1 Batch 320/7467] loss=0.3532, lr=0.0000021, metrics:accuracy:0.7567
INFO:root:[Epoch 1 Batch 330/7467] loss=0.3616, lr=0.0000022, metrics:accuracy:0.7595
INFO:root:[Epoch 1 Batch 340/7467] loss=0.4236, lr=0.0000023, metrics:accuracy:0.7613
INFO:root:[Epoch 1 Batch 350/7467] loss=0.3462, lr=0.0000023, metrics:accuracy:0.7640
INFO:root:[Epoch 1 Batch 360/7467] loss=0.3077, lr=0.0000024, metrics:accuracy:0.7678
INFO:root:[Epoch 1 Batch 370/7467] loss=0.3400, lr=0.0000025, metrics:accuracy:0.7704
INFO:root:[Epoch 1 Batch 380/7467] loss=0.3181, lr=0.0000025, metrics:accuracy:0.7733
INFO:root:[Epoch 1 Batch 390/7467] loss=0.2721, lr=0.0000026, metrics:accuracy:0.7765
INFO:root:[Epoch 1 Batch 400/7467] loss=0.3555, lr=0.0000027, metrics:accuracy:0.7786
INFO:root:[Epoch 1 Batch 410/7467] loss=0.3474, lr=0.0000027, metrics:accuracy:0.7809
INFO:root:[Epoch 1 Batch 420/7467] loss=0.3015, lr=0.0000028, metrics:accuracy:0.7833
